street_name,street_number,city,country_id
Glacier Hill Avenue,57,Torbat-e Jām,95
Dottie Junction,86,Beaumont,37
Ramsey Avenue,292,Cayambe,60
Thackeray Junction,5618,Caldas,47
2nd Park,4,Ngunguru,153
Nancy Junction,387,Burirao,159
Atwood Point,501,Nirji,42
North Pass,42,Tijão,164
Graceland Pass,83,Castelo de Vide,164
Clyde Gallagher Road,93,Shangde,42
Merrick Circle,604,Taluksangay,159
Sundown Court,92233,Montbéliard,70
Corscot Alley,238,Trstenik,186
Macpherson Point,10441,Trairi,30
Stuart Avenue,1,Xiangshi,42
Spaight Plaza,29,Belle-Anse,88
Main Plaza,252,Moshenskoye,172
Morning Park,119,Esparza,50
Dryden Alley,5915,Quebradas,90
Shelley Street,16676,Mucuri,30
Warner Parkway,3,Holoubkov,55
Surrey Trail,66669,Chingas,158
Drewry Point,2,Miragoâne,88
Haas Point,45,Timashëvsk,172
Westerfield Parkway,5,Liwu,42
Paget Plaza,9,Oliveirinha,164
Troy Court,84,Turze Pole,163
Longview Avenue,8,Kliteh,92
Dorton Pass,55,Huangqiao,42
Clemons Trail,4,Aricapampa,158
Milwaukee Way,33981,Mesquite,217
Dahle Drive,43758,Paipa,47
Independence Junction,18795,Barrī ash Sharqī,196
Charing Cross Pass,4,Rennes,70
Reinke Park,4776,Baih,92
Dayton Park,43995,Geoktschai,15
Mayfield Parkway,50,Dhanot,155
Jay Park,496,Guodu,42
Bellgrove Hill,7,Sumberejo,92
Red Cloud Terrace,1,Želešice,55
Amoth Lane,43,Campo de la Cruz,47
Green Ridge Point,9,Arendal,151
Bultman Hill,78,Killorglin,96
Heath Place,987,Tshikapa,45
Declaration Terrace,8359,Partille,194
Kennedy Lane,6412,Bongandanga,45
Corscot Lane,4183,Creighton,171
Esch Junction,147,Xingnong,42
Nova Junction,43,Sambirata,92
Killdeer Avenue,8315,Wujing,42
Logan Park,5,Badong,92
Merrick Trail,498,Dallas,217
Ryan Terrace,49425,Belozërsk,172
Boyd Pass,51,Doāba,155
Lakewood Point,5,San Silvestre,220
Kensington Street,20,Manghit,218
Melody Drive,58,Sidokumpul,92
Talisman Pass,9,Rendian,42
Maple Road,9441,Старо Нагоричане,134
5th Point,56,Teeli,172
Hallows Way,3,Olonets,172
Hudson Place,8,Zator,163
Canary Trail,7,Bamban,159
Pearson Terrace,871,Cornwall,37
Mayer Crossing,66,Wińsko,163
Shelley Avenue,8,Ōi,105
Lawn Parkway,8960,Bojongsari,92
Laurel Road,5945,Tojeira,164
Oak Valley Parkway,581,Hengelo,146
Sullivan Park,4538,Bromma,194
Esker Center,5381,Roissy Charles-de-Gaulle,70
Summer Ridge Center,948,Puerto Rico,158
Karstens Trail,3028,Gościeradów,163
Manufacturers Center,413,Banfora,34
John Wall Crossing,82,Cilaja,92
Barby Avenue,101,Ban Phaeo,200
Bartillon Circle,41492,Klau,92
Harper Parkway,1,Murree,155
Donald Junction,70,Huité,84
Corben Avenue,17356,Patulul,84
5th Junction,45,Jalaud,159
Green Drive,2824,Meikeng,42
Elmside Court,4652,Lorut,10
Holy Cross Way,39,Jati,92
5th Street,217,Panjiang,42
Eastlawn Point,1241,Xuedian,42
Graedel Trail,41,San Francisco,131
Caliangt Avenue,6,Oehala,92
La Follette Plaza,5,Périgueux,70
Prairieview Parkway,3,Mintian,42
Marquette Court,6486,Pantenan,92
Walton Court,6646,Stockholm,194
Hayes Center,69,Bakung,159
Raven Lane,37365,Tocota,158
Melody Hill,49685,Chaplygin,172
Everett Hill,5434,Hebu,42
Glacier Hill Lane,1511,Bauchi,149
Westport Junction,42,Nowogard,163
Meadow Valley Drive,53851,Zvezdara,186
Goodland Terrace,7,Cunliji,42
Cambridge Junction,63,Jaraguá do Sul,30
Comanche Alley,62,Weixin,42
Artisan Way,0,Lysice,55
Browning Alley,764,Cirangrang,92
Oak Valley Way,1,Malie,175
Aberg Hill,97,Kouzhen,42
Debra Point,66,Longfeng,42
Warrior Place,1,Tangkilsari,92
Delaware Center,43782,Naivasha,107
Trailsway Place,248,Guangshan,42
Bartelt Court,8,Lazaro Cardenas,131
Mayfield Lane,7408,Tarkwa,81
Aberg Terrace,9,Bajia,42
Welch Street,820,San Rafael Abajo,50
Rusk Alley,93850,Suresnes,70
Bartelt Drive,1458,Ngulangan,92
Rieder Way,2727,Bhalil,126
Dottie Trail,3,Masape,92
Eagle Crest Road,33772,Tianzhuang,42
Ludington Trail,8,Lewoduli,92
Del Mar Trail,703,Shangping,42
Hallows Crossing,5826,Donskoye,172
Cottonwood Crossing,68,Baoli,42
Golf View Junction,8,Shaydon,201
Golf Drive,3700,Sukaraharja,92
Nancy Terrace,7819,Águia Branca,30
Debs Pass,5210,Luzino,163
Sachtjen Place,2,Āsmār,1
Hallows Drive,9204,Kaélé,44
Longview Alley,434,Panikian,159
Maywood Pass,75811,Komsomol’sk,172
Dorton Parkway,59050,Panbang,23
