"user_id","book_id"
"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"10","10"
"11","11"
"12","12"
"13","13"
"1","14"
"2","15"
"3","16"
"4","17"
"5","18"
"6","19"
"7","20"
"8","21"
"9","22"
"10","23"
"11","24"
"12","25"
"13","26"
"1","27"
"2","28"
"3","29"
"4","30"
"5","31"
"6","32"
"7","33"
"8","34"
"9","35"
"10","36"
"11","37"
"12","38"
"13","39"
"1","40"
"2","41"
"3","42"
"4","43"
"5","44"
"6","45"
"7","46"
"8","47"
"9","48"
"10","49"
"11","50"
"12","51"
"13","52"
"1","53"
"2","54"
"3","55"
"4","56"
"5","57"
"6","58"
"7","59"
"8","60"
"9","61"
"10","62"
"11","63"
"12","64"
"13","65"
"1","66"
"2","67"
"3","68"
"4","69"
"5","70"
"6","71"
"7","72"
"8","73"
"9","74"
"10","75"
"11","76"
"12","77"
"13","78"
"1","79"
"2","80"
"3","81"
"4","82"
"5","83"
"6","84"
"7","85"
"8","86"
"9","87"
"10","88"
"11","89"
"12","90"
"13","91"
"1","92"
"2","93"
"3","94"
"4","95"
"5","96"
"6","97"
"7","98"
"8","99"
"9","100"
